category,total_sales,sales_contribution
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,535.00,0.011685
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,525.00,0.011466
Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,524.00,0.011445
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",510.00,0.011139
Electronics|Mobiles&Accessories|MobileAccessories|Décor,507.00,0.011073
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,499.00,0.010899
Electronics|Cameras&Photography|VideoCameras,499.00,0.010899
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,499.00,0.010899
Electronics|Accessories|MemoryCards|SecureDigitalCards,449.00,0.009807
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,443.00,0.009675
OfficeProducts|OfficeElectronics|Calculators|Basic,440.00,0.009610
HomeImprovement|Electrical|Adapters&Multi-Outlets,425.00,0.009282
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",399.00,0.008714
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,367.00,0.008016
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,349.00,0.007622
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,349.00,0.007622
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,320.00,0.006989
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",300.00,0.006552
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,299.00,0.006530
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,299.00,0.006530
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,297.00,0.006487
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",288.00,0.006290
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,278.00,0.006072
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,274.00,0.005984
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",253.00,0.005526
HomeImprovement|Electrical|CordManagement,249.00,0.005438
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",244.00,0.005329
"Electronics|Headphones,Earbuds&Accessories|Adapters",240.00,0.005242
Home&Kitchen|CraftMaterials|PaintingMaterials,230.00,0.005023
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",225.00,0.004914
Electronics|HomeAudio|Accessories|Adapters,209.00,0.004565
Computers&Accessories|Components|InternalHardDrives,199.00,0.004346
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,199.00,0.004346
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,199.00,0.004346
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",190.00,0.004150
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",154.00,0.003363
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,150.00,0.003276
Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,149.00,0.003254
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,130.00,0.002839
"Electronics|Headphones,Earbuds&Accessories|Cases",119.00,0.002599
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,99.00,0.002162
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,99.00,0.002162
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,99.00,0.002162
"Electronics|Headphones,Earbuds&Accessories|Earpads",99.00,0.002162
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,90.00,0.001966
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,89.00,0.001944
